Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\Simulaciones"
 
Branch,"Sim_A.P. Cabildo","Sim_A.P. Ligua","Sim_A.P. Papudo y Zapallar","Sim_A.P. Placilla","Sim_A.P. Valle Hermoso 1","Sim_A.P. Valle Hermoso 2","Sim_Asentamiento Alicahue","Sim_Asentamiento Bartolillo","Sim_Asentamiento Paihuen","Sim_Asentamiento Pililen","Sim_Asentamiento San Lorenzo","Sim_Asentamiento V. Aconcagua","Sim_Fundo El Molle","Sim_Fundo Montegrande","Sim_La Higuera","Sim_Pozo Dren Cabildo","Sim_Reserva La Vega"
"Jan 8 1981",204.378,61.8419,17.9092,23.2685,69.3383,69.3383,674.316,466.87,565.418,449.454,276.223,418.105,353.672,158.272,97.5036,217.924,314.95
"Jan 15 1981",204.357,61.798,17.8971,23.2223,69.3105,69.3105,674.3,466.851,565.396,449.433,276.186,418.102,353.671,158.237,97.4987,217.897,314.935
"Jan 22 1981",204.338,61.7544,17.8868,23.2093,69.2836,69.2836,674.283,466.832,565.376,449.412,276.15,418.099,353.671,158.207,97.494,217.876,314.921
"Jan 29 1981",204.321,61.7112,17.8803,23.225,69.2585,69.2585,674.266,466.814,565.357,449.392,276.115,418.095,353.671,158.183,97.4895,217.862,314.909
"Feb 5 1981",204.303,61.6684,17.8719,23.2062,69.2334,69.2334,674.249,466.796,565.339,449.372,276.079,418.091,353.671,158.154,97.4853,217.842,314.897
"Feb 12 1981",204.289,61.6259,17.8679,23.2255,69.2099,69.2099,674.232,466.778,565.321,449.353,276.044,418.087,353.67,158.132,97.4812,217.83,314.887
"Feb 19 1981",204.272,61.5839,17.8592,23.2038,69.1862,69.1862,674.214,466.761,565.303,449.334,276.009,418.083,353.67,158.105,97.4774,217.81,314.877
"Feb 26 1981",204.257,61.5423,17.858,23.2307,69.1629,69.1629,674.196,466.744,565.286,449.316,275.974,418.078,353.67,158.079,97.4737,217.793,314.866
"Mar 5 1981",204.242,61.501,17.8499,23.1995,69.1401,69.1401,674.177,466.727,565.27,449.298,275.94,418.072,353.671,158.055,97.4702,217.777,314.852
"Mar 12 1981",204.23,61.4602,17.8497,23.2389,69.119,69.119,674.159,466.711,565.254,449.28,275.907,418.067,353.671,158.038,97.4669,217.769,314.84
"Mar 19 1981",204.215,61.4197,17.841,23.1936,69.0973,69.0973,674.141,466.695,565.238,449.263,275.875,418.061,353.671,158.012,97.4637,217.751,314.823
"Mar 26 1981",204.204,61.3796,17.8413,23.2373,69.0772,69.0772,674.123,466.679,565.222,449.246,275.844,418.054,353.671,157.997,97.4606,217.744,314.808
"Apr 2 1981",204.19,61.3399,17.8334,23.1941,69.0556,69.0556,674.106,466.668,565.206,449.229,275.814,418.048,353.671,157.971,97.4577,217.725,314.797
"Apr 9 1981",204.18,61.3007,17.8351,23.2398,69.0354,69.0354,674.094,466.657,565.19,449.213,275.784,418.04,353.671,157.956,97.4549,217.72,314.787
"Apr 16 1981",204.166,61.2618,17.8267,23.1933,69.0137,69.0137,674.079,466.645,565.175,449.197,275.754,418.033,353.671,157.931,97.4522,217.703,314.77
"Apr 23 1981",204.156,61.2233,17.8279,23.2353,68.9937,68.9937,674.062,466.632,565.16,449.181,275.725,418.025,353.671,157.918,97.4496,217.697,314.756
"Apr 30 1981",204.144,61.1853,17.8225,23.2087,68.973,68.973,674.043,466.619,565.145,449.165,275.697,418.017,353.671,157.897,97.4471,217.684,314.745
"May 7 1981",204.135,61.1478,17.8249,23.2453,68.9539,68.9539,674.024,466.606,565.13,449.15,275.669,418.009,353.671,157.885,97.4447,217.679,314.735
"May 14 1981",204.136,61.1176,17.8928,23.2995,68.9843,68.9843,674.011,466.598,565.12,449.14,275.646,418.003,353.674,157.889,97.4496,217.688,314.729
"May 21 1981",204.131,61.0889,17.8732,23.2785,68.9648,68.9648,673.99,466.585,565.111,449.126,275.62,417.994,353.675,157.878,97.4529,217.686,314.72
"May 28 1981",204.122,61.0587,17.8607,23.2468,68.9459,68.9459,673.969,466.572,565.098,449.111,275.594,417.984,353.675,157.859,97.4548,217.673,314.711
"Jun 4 1981",204.203,61.0466,18.0239,23.4583,69.0512,69.0512,673.965,466.603,565.112,449.133,275.607,417.998,353.696,157.982,97.473,217.782,314.73
"Jun 11 1981",204.21,61.0389,17.9826,23.3914,69.0363,69.0363,673.944,466.592,565.124,449.12,275.584,417.988,353.697,157.964,97.4867,217.777,314.72
"Jun 18 1981",204.207,61.0248,17.9665,23.375,69.0239,69.0239,673.925,466.58,565.121,449.107,275.563,417.978,353.699,157.952,97.4964,217.766,314.711
"Jun 25 1981",204.22,61.0076,17.9665,23.4507,69.0207,69.0207,673.908,466.569,565.117,449.096,275.543,417.968,353.702,157.998,97.5033,217.817,314.702
"Jul 2 1981",204.21,60.988,17.9536,23.3647,69.0055,69.0055,673.892,466.556,565.111,449.083,275.524,417.957,353.703,157.971,97.5073,217.785,314.692
"Jul 9 1981",204.218,60.9678,17.9613,23.4462,69.0023,69.0023,673.878,466.544,565.106,449.072,275.507,417.947,353.706,158.005,97.5102,217.821,314.683
"Jul 16 1981",204.232,60.9492,17.9672,23.4693,68.9989,68.9989,673.864,466.532,565.105,449.062,275.491,417.937,353.71,158.045,97.5121,217.864,314.673
"Jul 23 1981",204.219,60.9298,17.9554,23.3767,68.9815,68.9815,673.852,466.519,565.102,449.049,275.476,417.926,353.711,158.007,97.5124,217.817,314.663
"Jul 30 1981",204.206,60.9077,17.9465,23.3642,68.9616,68.9616,673.841,466.506,565.093,449.035,275.461,417.914,353.712,157.983,97.5113,217.791,314.653
"Aug 6 1981",204.215,60.8879,17.9618,23.4462,68.9611,68.9611,673.832,466.496,565.09,449.025,275.449,417.905,353.715,158.02,97.5111,217.835,314.646
"Aug 13 1981",204.223,60.8725,17.9873,23.459,68.9723,68.9723,673.824,466.485,565.092,449.015,275.437,417.894,353.718,158.041,97.5134,217.859,314.637
"Aug 20 1981",204.205,60.8544,17.9609,23.3449,68.9502,68.9502,673.816,466.472,565.087,449.002,275.423,417.882,353.719,157.997,97.5139,217.807,314.627
"Aug 27 1981",204.187,60.8326,17.9431,23.3273,68.9265,68.9265,673.808,466.459,565.076,448.988,275.41,417.87,353.719,157.966,97.5127,217.774,314.617
"Sep 3 1981",204.178,60.8097,17.943,23.4157,68.9119,68.9119,673.802,466.447,565.067,448.976,275.398,417.859,353.721,157.967,97.5105,217.781,314.608
"Sep 10 1981",204.163,60.7859,17.9331,23.3593,68.8915,68.8915,673.796,466.434,565.065,448.963,275.385,417.847,353.722,157.948,97.5075,217.763,314.598
"Sep 17 1981",204.145,60.7606,17.9196,23.3131,68.8688,68.8688,673.791,466.421,565.058,448.95,275.372,417.834,353.722,157.921,97.5038,217.737,314.588
"Sep 24 1981",204.123,60.7338,17.9013,23.272,68.8427,68.8427,673.786,466.408,565.043,448.937,275.359,417.822,353.722,157.888,97.4995,217.71,314.578
"Oct 1 1981",204.103,60.7055,17.882,23.2393,68.8165,68.8165,673.781,466.395,565.028,448.922,275.346,417.809,353.722,157.862,97.4947,217.689,314.568
"Oct 8 1981",204.081,60.6761,17.8665,23.2343,68.7896,68.7896,673.777,466.383,565.013,448.908,275.332,417.796,353.721,157.831,97.4896,217.665,314.558
"Oct 15 1981",204.059,60.6461,17.8467,23.1922,68.7622,68.7622,673.772,466.37,564.999,448.895,275.318,417.783,353.721,157.799,97.4843,217.639,314.548
"Oct 22 1981",204.055,60.6156,17.8531,23.3231,68.7439,68.7439,673.768,466.357,564.984,448.881,275.304,417.769,353.72,157.819,97.4791,217.662,314.538
"Oct 29 1981",204.048,60.5852,17.8495,23.3059,68.7271,68.7271,673.766,466.344,565.007,448.87,275.291,417.756,353.721,157.824,97.4739,217.67,314.527
"Nov 5 1981",204.029,60.5548,17.8364,23.2392,68.7045,68.7045,673.763,466.331,564.98,448.857,275.278,417.742,353.721,157.789,97.4688,217.64,314.517
